"ACCESS.NUMBER" "UUI" "IMEI" "REFNUM"
"165" "56995648034" "1433" NA NA
"166" "56997213962" "1111" NA NA
"167" "56971392405" "268" NA NA
"168" "56953700290" "1221" "358875050558686" NA
"169" "56968456958" "313" NA NA
"170" "56992510442" "400" "359291056600903" NA
"171" "56992232133" "277" NA NA
"172" "56992298521" "226" NA NA
"173" "56985055146" "268" NA NA
"174" "56992271705" "249" NA NA
"175" "56985056013" "335" "358875050616526" NA
"176" "56992748124" "268" NA NA
"177" "56997459731" "399" NA NA
"178" "56953715677" "372" NA NA
"179" "56989030334" "335" NA NA
"180" "56994494943" "216" NA NA
"181" "56953715675" "341" NA NA
"182" "56953637593" "373" NA NA
"183" "56953700639" "355" NA NA
"184" "56974778718" "1409" NA NA
"185" "56988464859" "380" NA NA
"186" "56961221878" "398" NA NA
"187" "56993225348" "411" NA NA
"188" "56990383138" "1208" NA NA
"189" "56992772111" "365" NA NA
"190" "56993421376" "370" "352050067066323" NA
"191" "56961244660" "283" NA NA
"192" "56994413732" "272" NA NA
"193" "56993464235" "308" NA NA
"194" "56993456881" "325" NA NA
"195" "56953700288" "418" "352773051762447" NA
"196" "56992213257" "1217" NA NA
"197" "56991950837" "332" NA NA
"198" "56993464241" "1427" NA NA
"199" "56995548931" "250" NA NA
"200" "56963333418" "235" NA NA
"201" "56996817428" "1403" NA NA
"202" "56968313032" "249" NA NA
"203" "56989026281" "301" NA NA
"204" "56992217655" "311" NA NA
"205" "56963333399" "227" NA NA
"206" "56989012889" "276" "358875050622698" NA
"207" "56997446194" "408" NA NA
"208" "56995334117" "268" NA NA
"209" "56993499066" "265" NA NA
"210" "56953632911" "338" "358973060253206" NA
"211" "56996394745" "271" NA NA
"212" "56992621284" "233" NA NA
"213" "56996450002" "257" "358875050187155" NA
"214" "56993220506" "322" NA NA
"215" "56961498965" "237" NA NA
"216" "56990383135" "287" "358973061953549" NA
"217" "56989046966" "232" NA NA
"218" "56996578315" "413" "357736054969405" NA
"219" "56992321171" "321" NA NA
"220" "56990191784" "369" NA NA
"221" "56961491386" "248" NA NA
"222" "56990471433" "396" NA NA
"223" "56997076633" "350" "353111064674243" NA
"224" "56983413395" "249" NA NA
"225" "56964952671" "370" NA NA
"226" "56989209579" "261" "358875050515538" NA
"227" "56968315347" "1402" NA NA
"228" "56968325186" "1403" NA NA
"229" "56989056005" "239" NA NA
"230" "56983415762" "308" NA NA
"231" "56999097877" "1437" NA NA
"232" "56996592871" "1435" NA NA
"233" "56961934311" "346" NA NA
"234" "56993278590" "323" "358372065740855" NA
"235" "56993452330" "360" NA NA
"236" "56963341873" "377" NA NA
"237" "56957791008" "1392" NA NA
"238" "56995323526" "340" NA NA
"239" "56997327879" "381" NA NA
"240" "LLAIIA12206" "1181" NA NA
"241" "10000258677" "1181" NA NA
"242" "LLAIIA12400" "1180" NA NA
"243" "10000258670" "1180" NA NA
"244" "10000258658" "1179" NA NA
"245" "10000258645" "1178" NA NA
"246" "10000124477" "1177" NA NA
"247" "181267" "1176" NA NA
"248" "100000258615" "1175" NA NA
"249" "IIA5" "1174" NA NA
"250" "LLAIIA10396" "1173" NA NA
"251" "10000258591" "1173" NA NA
"252" "LLAIIA12213" "1172" NA NA
"253" "62617" "1172" NA NA
"254" "56981586076" "1412" NA NA
"255" "56985052845" "1415" NA NA
"256" "56999755155" "1238" NA NA
"257" "56991629009" "1421" NA NA
"258" "56962085785" "1398" NA NA
"259" "56997532930" "1209" NA NA
"260" "56971509763" "242" NA NA
"261" "56953966202" "1391" NA NA
"262" "56968399949" "1404" NA NA
"263" "56995434872" "1432" NA NA
"264" "56968399894" "1212" NA NA
"265" "56961689062" "1397" NA NA
"266" "56968436510" "258" NA NA
"267" "56958636880" "1393" NA NA
"268" "56996393397" "1434" NA NA
"269" "56992802748" "343" "357260045323374" NA
"270" "56961213537" "1395" NA NA
"271" "56963080273" "1400" NA NA
"272" "56997448493" "343" "860850013278855" NA
"273" "56974528548" "1407" NA NA
"274" "56997290784" "1395" NA NA
"275" "44444444" "1196" "444444444444444" NA
"276" "666666" "1194" NA NA
"277" "333333" "1197" "333333333333333" NA
"278" "22222" "1199" "123456789123456" NA
"279" "111111111" "1198" "111111111111111" NA
"280" "56993490593" "1428" NA NA
"281" "tiatsubsoledotcom" "1172" NA NA
"282" "192168313" "1172" NA NA
"283" "192168318" "1172" NA NA
"284" "192168317" "1172" NA NA
"285" "192168319" "1172" NA NA
"286" "192168316" "1172" NA NA
"287" "192168315" "1172" NA NA
"288" "192168314" "1172" NA NA
"289" "56989209495" "1204" NA NA
"290" "56997030801" "1218" "353338061799802" NA
"291" "56993247735" "1403" NA NA
"292" "56996300435" "1214" NA NA
"293" "56983601839" "1413" NA NA
"294" "56969176292" "311" NA NA
"295" "56992800915" "675" NA NA
"296" "56996332740" "271" NA NA
"297" "56963209245" "1401" NA NA
"298" "56977664768" "1228" NA NA
"299" "56996941330" "1225" NA NA
"300" "56997234972" "1144" NA NA
"301" "56995315357" "365" NA NA
"302" "56993428366" "235" NA NA
"303" "56993425579" "1229" NA NA
"304" "56995328029" "1403" NA NA
"305" "56958796217" "1230" NA NA
"306" "56971372323" "393" NA NA
"307" "56976161620" "370" NA NA
"308" "56994353897" "1164" NA NA
"309" "56976188780" "235" NA NA
"310" "56983775067" "1414" NA NA
"311" "56953648879" "633" "355019075142365" NA
"312" "56999693644" "1226" NA NA
"313" "56958428848" "1227" NA NA
"314" "56958971036" "1394" NA NA
"315" "56992756372" "1231" NA NA
"316" "56963107041" "1236" NA NA
"317" "56953747880" "1390" NA NA
"318" "56968466306" "1237" NA NA
"319" "56996314745" "1238" NA NA
"320" "56974541428" "1408" NA NA
"321" "56968484852" "1239" NA NA
"322" "56989294953" "234" NA NA
"323" "56989232852" "1418" NA NA
"324" "56992268926" "1424" NA NA
"325" "56988334914" "1241" NA NA
"326" "5026359423WPW" NA NA "5026359423WPW"
"327" "4063369905T81" NA NA "4063369905T81"
"328" "451445HH1V3FY" NA NA "451445HH1V3FY"
"329" "701645HH04877" NA NA "701645HH04877"
"330" "701644HH03X7B" NA NA "701644HH03X7B"
"331" "701645HH04869" NA NA "701645HH04869"
"332" "5026359423WP9" NA NA "5026359423WP9"
"333" "701644HH03X87" NA NA "701644HH03X87"
"334" "451445HH1V2RK" NA NA "451445HH1V2RK"
"335" "5026359423WKY" NA NA "5026359423WKY"
"336" "701645HH047ZV" NA NA "701645HH047ZV"
"337" "701645HH0481L" NA NA "701645HH0481L"
"338" "451445HH1V3FZ" NA NA "451445HH1V3FZ"
"339" "701645HH0484G" NA NA "701645HH0484G"
"340" "701645HH047ZZ" NA NA "701645HH047ZZ"
"341" "4063369905T8N" NA NA "4063369905T8N"
"342" "5026359423WP8" NA NA "5026359423WP8"
"343" "701645HH0485P" NA NA "701645HH0485P"
"344" "4063369905TFX" NA NA "4063369905TFX"
"345" "701644HH03X76" NA NA "701644HH03X76"
"346" "5026359423WM8" NA NA "5026359423WM8"
"347" "451445HH1V3FR" NA NA "451445HH1V3FR"
"348" "701645HH048G5" NA NA "701645HH048G5"
"349" "701645HH047YV" NA NA "701645HH047YV"
"350" "701645HH047TR" NA NA "701645HH047TR"
"351" "701645HH047ZK" NA NA "701645HH047ZK"
"352" "4063369905NB5" NA NA "4063369905NB5"
"353" "701645HH047TM" NA NA "701645HH047TM"
"354" "701645HH047ZW" NA NA "701645HH047ZW"
"355" "451445HH1V3FD" NA NA "451445HH1V3FD"
"356" "4063369905T9V" NA NA "4063369905T9V"
"357" "451445HH1V3FF" NA NA "451445HH1V3FF"
"358" "451445HH1V3FX" NA NA "451445HH1V3FX"
"359" "701644HH03X9R" NA NA "701644HH03X9R"
"360" "451445HH1V3F8" NA NA "451445HH1V3F8"
"361" "4063369905TFM" NA NA "4063369905TFM"
"362" "451445HH1V3D3" NA NA "451445HH1V3D3"
"363" "451445HH1V3D7" NA NA "451445HH1V3D7"
"364" "4063369905TCP" NA NA "4063369905TCP"
"365" "451445HH1V3BL" NA NA "451445HH1V3BL"
"366" "5026359423WKC" NA NA "5026359423WKC"
"367" "701645HH047ZM" NA NA "701645HH047ZM"
"368" "701645HH048G3" NA NA "701645HH048G3"
"369" "701645HH047ZT" NA NA "701645HH047ZT"
"370" "701644HH03X6H" NA NA "701644HH03X6H"
"371" "4063369905TDW" NA NA "4063369905TDW"
"372" "451445HH1V3F0" NA NA "451445HH1V3F0"
"373" "56950372493" "1389" NA NA
"374" "56996854810" "1436" NA NA
"375" "56995467191" "1219" NA NA
"376" "56989999704" "1242" NA NA
"377" "56995576856" "408" NA NA
"378" "56989058943" "1243" NA NA
"379" "56981521115" "1438" NA NA
"380" NA "337" "012169001672384" NA
"381" NA "380" "012630004779161" NA
"382" NA "284" "012744003680666" NA
"383" NA "326" "012755000457882" NA
"384" NA "323" "013068004955003" NA
"385" NA "308" "013181008712757" NA
"386" NA "320" "013194004318990" NA
"387" NA "417" "013195003557322" NA
"388" NA "424" "013198004245327" NA
"389" NA "382" "013202002519426" NA
"390" NA "227" "013434004030785" NA
"391" NA "232" "013434004471138" NA
"392" NA "330" "013439000497680" NA
"393" NA "268" "013442003158234" NA
"394" NA "285" "013661001684129" NA
"395" NA "285" "013661001711716" NA
"396" NA "285" "013668000047026" NA
"397" NA "235" "100000005581201" NA
"398" NA "224" "100000006033293" NA
"399" NA "1164" "100000007879967" NA
"400" NA "377" "351505053850940" NA
"401" NA "371" "351892056729432" NA
"402" NA "335" "351986060940298" NA
"403" NA "290" "351989062317796" NA
"404" NA "374" "352015061257814" NA
"405" NA "351" "352049062004529" NA
"406" NA "379" "352049062089959" NA
"407" NA "325" "352049062228367" NA
"408" NA "318" "352049062280376" NA
"409" NA "383" "352049062358412" NA
"410" NA "262" "352049062499240" NA
"411" NA "297" "352049062516969" NA
"412" NA "277" "352049062536058" NA
"413" NA "321" "352049062540290" NA
"414" NA "250" "352049062600532" NA
"415" NA "269" "352049067227356" NA
"416" NA "370" "352049067299827" NA
"417" NA "311" "352049067526567" NA
"418" NA "256" "352049067618216" NA
"419" NA "1205" "352050064243602" NA
"420" NA "307" "352050064430514" NA
"421" NA "1204" "352050065512054" NA
"422" NA "269" "352050065548660" NA
"423" NA "675" "352050066540252" NA
"424" NA "365" "352050067322155" NA
"425" NA "240" "352050067345453" NA
"426" NA "1200" "352051065094622" NA
"427" NA "285" "352051065365394" NA
"428" NA "269" "352052064886703" NA
"429" NA "221" "352053067669062" NA
"430" NA "419" "352053067754740" NA
"431" NA "351" "352053067823644" NA
"432" NA "229" "352053067888282" NA
"433" NA "346" "352054065449382" NA
"434" NA "269" "352054066787558" NA
"435" NA "356" "352054066792244" NA
"436" NA "381" "352054066811663" NA
"437" NA "269" "352055064236837" NA
"438" NA "270" "352055064245663" NA
"439" NA "248" "352055064258344" NA
"440" NA "420" "352055064291956" NA
"441" NA "1200" "352055064292384" NA
"442" NA "285" "352055065181230" NA
"443" NA "1217" "352383063862381" NA
"444" NA "263" "352624052170942" NA
"445" NA "397" "352631052175441" NA
"446" NA "355" "352773051773402" NA
"447" NA "286" "352774053120675" NA
"448" NA "359" "352774053129049" NA
"449" NA "365" "352774053614891" NA
"450" NA "1144" "352837072518201" NA
"451" NA "347" "352858065555521" NA
"452" NA "416" "352858065560539" NA
"453" NA "372" "352858065560745" NA
"454" NA "408" "352858065561875" NA
"455" NA "369" "352858065565298" NA
"456" NA "407" "352858065566841" NA
"457" NA "423" "352858065578531" NA
"458" NA "362" "352858065734233" NA
"459" NA "281" "352858065734951" NA
"460" NA "367" "352858065734977" NA
"461" NA "391" "352858065735552" NA
"462" NA "360" "352858065736345" NA
"463" NA "370" "353111065245084" NA
"464" NA "357" "353312072812011" NA
"465" NA "1200" "353332072407562" NA
"466" NA "409" "353338060250542" NA
"467" NA "1213" "353338060258693" NA
"468" NA "566" "353338060259568" NA
"469" NA "815" "353338060259576" NA
"470" NA "1211" "353338060291306" NA
"471" NA "813" "353338060317358" NA
"472" NA "675" "353338060319231" NA
"473" NA "1212" "353338060328074" NA
"474" NA "345" "353338060347934" NA
"475" NA "364" "353338060347942" NA
"476" NA "397" "353338060348106" NA
"477" NA "344" "353338060411623" NA
"478" NA "264" "353338060414742" NA
"479" NA "258" "353338060765382" NA
"480" NA "1220" "353338061738768" NA
"481" NA "359" "353338061794407" NA
"482" NA "380" "353338061794514" NA
"483" NA "233" "353338061801467" NA
"484" NA "1230" "353338061880370" NA
"485" NA "388" "353338061882202" NA
"486" NA "291" "353338061890445" NA
"487" NA "340" "353338061892474" NA
"488" NA "275" "353338061903628" NA
"489" NA "361" "353338061904501" NA
"490" NA "378" "353338061910292" NA
"491" NA "1214" "353338062202426" NA
"492" NA "225" "353338062215709" NA
"493" NA "355" "353338062253775" NA
"494" NA "272" "353338062256042" NA
"495" NA "295" "353338062628091" NA
"496" NA "1228" "353338062678757" NA
"497" NA "238" "353338063199936" NA
"498" NA "415" "353338063201088" NA
"499" NA "389" "353338063228248" NA
"500" NA "410" "353566053976067" NA
"501" NA "364" "353566054453207" NA
"502" NA "1224" "353661057116024" NA
"503" NA "222" "353661057217780" NA
"504" NA "344" "353661057429971" NA
"505" NA "345" "353661057518187" NA
"506" NA "216" "353661057535561" NA
"507" NA "346" "353661057545776" NA
"508" NA "274" "353661057557110" NA
"509" NA "373" "353661057557714" NA
"510" NA "312" "353661057562805" NA
"511" NA "370" "353926057230152" NA
"512" NA "1237" "354138071188338" NA
"513" NA "1239" "354138071191613" NA
"514" NA "214" "354138071201468" NA
"515" NA "234" "354138071207211" NA
"516" NA "283" "354444069713099" NA
"517" NA "314" "354449069824390" NA
"518" NA "1200" "354452062961458" NA
"519" NA "421" "354850052835998" NA
"520" NA "235" "355019071854898" NA
"521" NA "271" "355019071860333" NA
"522" NA "237" "355019071862735" NA
"523" NA "271" "355019071862776" NA
"524" NA "393" "355019071868146" NA
"525" NA "214" "355019072359335" NA
"526" NA "293" "355019072359376" NA
"527" NA "244" "355019072362446" NA
"528" NA "226" "355019072363964" NA
"529" NA "370" "355019072982409" NA
"530" NA "390" "355019072984538" NA
"531" NA "274" "355019072985352" NA
"532" NA "259" "355019072991988" NA
"533" NA "252" "355019072992556" NA
"534" NA "313" "355019072993711" NA
"535" NA "411" "355019073030166" NA
"536" NA "356" "355019073030240" NA
"537" NA "322" "355019073031180" NA
"538" NA "1217" "355019073398282" NA
"539" NA "1193" "355019073965015" NA
"540" NA "377" "355019073965023" NA
"541" NA "393" "355019073967268" NA
"542" NA "336" "355019073971120" NA
"543" NA "306" "355019074452740" NA
"544" NA "232" "355019074460479" NA
"545" NA "321" "355019075142407" NA
"546" NA "396" "355019075239419" NA
"547" NA "406" "355019075239526" NA
"548" NA "370" "355102060493595" NA
"549" NA "256" "355102061359829" NA
"550" NA "234" "355258052932220" NA
"551" NA "246" "355258058558441" NA
"552" NA "219" "355419076347452" NA
"553" NA "291" "355570054805075" NA
"554" NA "305" "355931037672109" NA
"555" NA "363" "355931037813133" NA
"556" NA "306" "356334059144504" NA
"557" NA "263" "356334059211295" NA
"558" NA "263" "356334059215171" NA
"559" NA "263" "356334059217789" NA
"560" NA "422" "356523079728532" NA
"561" NA "362" "356523079738499" NA
"562" NA "343" "356523079738549" NA
"563" NA "727" "356523079739877" NA
"564" NA "347" "356523079743200" NA
"565" NA "1224" "356523079743275" NA
"566" NA "391" "356523079743895" NA
"567" NA "358" "356523079744034" NA
"568" NA "407" "356523079779113" NA
"569" NA "325" "356523079779147" NA
"570" NA "215" "356523079780624" NA
"571" NA "329" "356523079780681" NA
"572" NA "318" "356523079780699" NA
"573" NA "381" "356936056185809" NA
"574" NA "280" "356987061974810" NA
"575" NA "239" "356989060581166" NA
"576" NA "1210" "357260044601333" NA
"577" NA "369" "357260045142972" NA
"578" NA "221" "357260045332334" NA
"579" NA "318" "357274059461913" NA
"580" NA "385" "357329077906115" NA
"581" NA "293" "357736054965213" NA
"582" NA "309" "357736054969884" NA
"583" NA "361" "357736054971625" NA
"584" NA "264" "357736054975782" NA
"585" NA "249" "357736054977457" NA
"586" NA "249" "357736054977499" NA
"587" NA "275" "357736054977523" NA
"588" NA "399" "357736054977556" NA
"589" NA "236" "357736054978539" NA
"590" NA "249" "357736054978893" NA
"591" NA "288" "357736057206276" NA
"592" NA "269" "357999059303059" NA
"593" NA "370" "358000059146504" NA
"594" NA "324" "358000059148542" NA
"595" NA "240" "358000059248656" NA
"596" NA "249" "358023062633565" NA
"597" NA "232" "358051034262551" NA
"598" NA "263" "358102050838822" NA
"599" NA "263" "358102050842394" NA
"600" NA "263" "358102050848227" NA
"601" NA "386" "358102051602839" NA
"602" NA "258" "358102051628834" NA
"603" NA "233" "358102051636589" NA
"604" NA "332" "358102051654699" NA
"605" NA "237" "358102051675215" NA
"606" NA "330" "358369064083196" NA
"607" NA "224" "358369068707170" NA
"608" NA "417" "358371064307252" NA
"609" NA "227" "358372064806632" NA
"610" NA "268" "358372064933683" NA
"611" NA "232" "358372065147689" NA
"612" NA "320" "358372065170178" NA
"613" NA "269" "358543053894652" NA
"614" NA "315" "358544053069568" NA
"615" NA "288" "358544054658708" NA
"616" NA "269" "358545052329135" NA
"617" NA "269" "358546053298865" NA
"618" NA "219" "358687057219380" NA
"619" NA "311" "358687058009947" NA
"620" NA "265" "358761051596323" NA
"621" NA "357" "358762057169552" NA
"622" NA "405" "358803050127963" NA
"623" NA "285" "358803055729771" NA
"624" NA "385" "358826058689288" NA
"625" NA "273" "358829055875926" NA
"626" NA "340" "358854050602737" NA
"627" NA "294" "358854050602760" NA
"628" NA "272" "358854050602877" NA
"629" NA "223" "358854051007050" NA
"630" NA "225" "358854051008041" NA
"631" NA "389" "358854051013181" NA
"632" NA "394" "358854053600886" NA
"633" NA "411" "358875050168718" NA
"634" NA "388" "358875050168999" NA
"635" NA "220" "358875050173452" NA
"636" NA "231" "358875050182453" NA
"637" NA "412" "358875050184848" NA
"638" NA "1220" "358875050187130" NA
"639" NA "295" "358875050193369" NA
"640" NA "304" "358875050207599" NA
"641" NA "301" "358875050208423" NA
"642" NA "255" "358875050208746" NA
"643" NA "334" "358875050209322" NA
"644" NA "378" "358875050215279" NA
"645" NA "1216" "358875050216129" NA
"646" NA "235" "358875050216186" NA
"647" NA "419" "358875050216293" NA
"648" NA "376" "358875050222879" NA
"649" NA "229" "358875050223901" NA
"650" NA "221" "358875050226953" NA
"651" NA "390" "358875050256471" NA
"652" NA "252" "358875050325987" NA
"653" NA "396" "358875050475741" NA
"654" NA "356" "358875050493413" NA
"655" NA "392" "358875050511131" NA
"656" NA "215" "358875050511693" NA
"657" NA "226" "358875050517179" NA
"658" NA "422" "358875050518854" NA
"659" NA "316" "358875050519423" NA
"660" NA "393" "358875050520751" NA
"661" NA "321" "358875050526667" NA
"662" NA "329" "358875050557811" NA
"663" NA "271" "358875050592321" NA
"664" NA "214" "358875050592560" NA
"665" NA "238" "358875050593352" NA
"666" NA "409" "358875050599995" NA
"667" NA "343" "358875050611238" NA
"668" NA "313" "358875050613325" NA
"669" NA "398" "358875050613952" NA
"670" NA "244" "358875050619272" NA
"671" NA "336" "358875050619280" NA
"672" NA "358" "358875050622169" NA
"673" NA "406" "358875050622540" NA
"674" NA "287" "358875050625360" NA
"675" NA "271" "358875050626004" NA
"676" NA "415" "358875050627101" NA
"677" NA "1193" "358875050627853" NA
"678" NA "322" "358875050628133" NA
"679" NA "338" "358875050630667" NA
"680" NA "259" "358875050646069" NA
"681" NA "312" "358973060257140" NA
"682" NA "376" "358973060271752" NA
"683" NA "220" "358973060399330" NA
"684" NA "399" "358973060404593" NA
"685" NA "255" "358973060434632" NA
"686" NA "1203" "358973061747016" NA
"687" NA "398" "358973061747214" NA
"688" NA "412" "358973061763740" NA
"689" NA "386" "358973061766701" NA
"690" NA "223" "358973061776221" NA
"691" NA "337" "358973061776619" NA
"692" NA "316" "358973061923591" NA
"693" NA "231" "358973061923625" NA
"694" NA "1216" "358973061923856" NA
"695" NA "421" "358973061939571" NA
"696" NA "373" "358973061941122" NA
"697" NA "286" "358973061949323" NA
"698" NA "611" "358973061951055" NA
"699" NA "321" "358973061955635" NA
"700" NA "271" "358973062100918" NA
"701" NA "236" "358973062124728" NA
"702" NA "216" "358973062127069" NA
"703" NA "321" "359145070221411" NA
"704" NA "1238" "359145070299052" NA
"705" NA "383" "359145070449558" NA
"706" NA "288" "359145071097356" NA
"707" NA "248" "359145071253462" NA
"708" NA "290" "359145071517569" NA
"709" NA "1231" "359145071705842" NA
"710" NA "265" "359238063699899" NA
"711" NA "356" "359262062555878" NA
"712" NA "288" "359262062556132" NA
"713" NA "284" "359262065790522" NA
"714" NA "294" "359267062087913" NA
"715" NA "1229" "359267062135944" NA
"716" NA "405" "359267062154598" NA
"717" NA "394" "359267062361722" NA
"718" NA "374" "359267062392743" NA
"719" NA "1225" "359267062428059" NA
"720" NA "365" "359267062694783" NA
"721" NA "298" "359291055404364" NA
"722" NA "253" "359291056038427" NA
"723" NA "384" "359291056075411" NA
"724" NA "342" "359291056143722" NA
"725" NA "325" "359291056148499" NA
"726" NA "230" "359291056242086" NA
"727" NA "341" "359291056288790" NA
"728" NA "317" "359291056600093" NA
"729" NA "1206" "359291057567705" NA
"730" NA "366" "359291057567762" NA
"731" NA "296" "359291057576565" NA
"732" NA "266" "359291057576581" NA
"733" NA "235" "359293054090863" NA
"734" NA "315" "359303066098315" NA
"735" NA "308" "359305066369141" NA
"736" NA "311" "359734030781059" NA
"737" NA "221" "359734031578298" NA
"738" NA "253" "359771070529485" NA
"739" NA "235" "359771070531929" NA
"740" NA "249" "359771070533867" NA
"741" NA "392" "359771070534063" NA
"742" NA "249" "359771070537454" NA
