"TYPE" "MODEL" "REFNUM" "IMEI" "STATUS"
"71" "Smartphone" "IPHONE 4 8GB NEGRO 3G" NA "013661001711716" "Descartado"
"72" "Smartphone" "IPHONE 4 8GB NEGRO 3G" NA "013668000047026" "Descartado"
"73" "Otro" "XXPORTATIL GSM GENERICO" NA "100000005103006" "Activo"
"74" "Otro" "CAJA GPS VIRTUAL" NA "100000005581201" "Activo"
"75" "Móvil" "CAJA GPS VIRTUAL" NA "100000006033293" "Descartado"
"76" "Móvil" "CAJA GPS VIRTUAL" NA "100000006612328" "Descartado"
"77" "Otro" "1CAJA GPS VIRTUAL" NA "100000007879967" "Activo"
"78" "Tableta" "Apple iPhone 4" NA "111111111111111" "Descartado"
"79" "Móvil" "Motorola RADZ D334" NA "123456723456345" "Descartado"
"80" "Móvil" "Test_supplier Test_device" NA "123456789098765" "Descartado"
"81" "Smartphone" "PORTATIL APPLE IPHONE 6 64GB GOLD" NA "123456789123456" "Descartado"
"82" "Móvil" "TOTOTITI" NA "222222222222222" "Descartado"
"83" "Móvil" "Others BLACKBERRY CURVE 9380pho" NA "333333333333333" "Descartado"
"84" "Smartphone" "8520 GEMINI" NA "351505053850940" "Descartado"
"85" "Smartphone" "8520 GEMINI" NA "351892055200708" "Activo"
"86" "Smartphone" "8520 GEMINI" NA "351892056729432" "Descartado"
"87" "Smartphone" "IPHONE 5S 16GB GRIS" NA "351986060940298" "Activo"
"88" "Smartphone" "IPHONE 5S 16GB GRIS" NA "351989062317796" "Descartado"
"89" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352015061257814" "Activo"
"90" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352015069189738" "Activo"
"91" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352015069493841" "Activo"
"92" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062004529" "Activo"
"93" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062089959" "Activo"
"94" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062156469" "Activo"
"95" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062228367" "Activo"
"96" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062280376" "Activo"
"97" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062358412" "Descartado"
"98" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062499240" "Activo"
"99" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062516969" "Activo"
"100" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062536058" "Activo"
"101" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062540290" "Descartado"
"102" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062600532" "Activo"
"103" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049062667531" "Activo"
"104" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049067227356" "Activo"
"105" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049067299827" "Activo"
"106" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049067526567" "Activo"
"107" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352049067618216" "Activo"
"108" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050064243602" "Activo"
"109" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050064430514" "Activo"
"110" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050065512054" "Activo"
"111" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050065548660" "Activo"
"112" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050066540252" "Activo"
"113" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050066797951" "Activo"
"114" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050067066323" "Activo"
"115" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050067322155" "Activo"
"116" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352050067345453" "Activo"
"117" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352051065094622" "Activo"
"118" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352051065365394" "Activo"
"119" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352052064886703" "Activo"
"120" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352053067669062" "Activo"
"121" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352053067754740" "Activo"
"122" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352053067823644" "Activo"
"123" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352053067888282" "Activo"
"124" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352054065449382" "Activo"
"125" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352054066787558" "Activo"
"126" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352054066792244" "Activo"
"127" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352054066811663" "Activo"
"128" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055064236837" "Descartado"
"129" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055064245663" "Activo"
"130" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055064258344" "Descartado"
"131" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055064291956" "Activo"
"132" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055064292384" "Activo"
"133" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055065001750" "Activo"
"134" "Smartphone" "IPHONE 5S 16GB GRIS" NA "352055065181230" "Activo"
"135" "Smartphone" "208 NEGRO" NA "352383063862381" "Descartado"
"136" "Smartphone" "OPTIMUS L5 (E612) BLACK" NA "352624052170942" "Descartado"
"137" "Smartphone" "9360 APOLLO 3G" NA "352631052175441" "Descartado"
"138" "Smartphone" "8520 GEMINI" NA "352773051762447" "Descartado"
"139" "Smartphone" "8520 GEMINI" NA "352773051773402" "Descartado"
"140" "Smartphone" "8520 GEMINI" NA "352774053120675" "Descartado"
"141" "Smartphone" "8520 GEMINI" NA "352774053129049" "Descartado"
"142" "Smartphone" "8520 GEMINI" NA "352774053614891" "Descartado"
"143" "Smartphone" "8520 GEMINI" NA "352774053628081" "Activo"
"144" "Smartphone" "GALAXY NOTE 5 NEGRO" NA "352837072518201" "Activo"
"145" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065555521" "Descartado"
"146" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065560539" "Descartado"
"147" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065560745" "Activo"
"148" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065561875" "Descartado"
"149" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065565298" "Descartado"
"150" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065566841" "Descartado"
"151" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065578531" "Descartado"
"152" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065734233" "Descartado"
"153" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065734951" "Descartado"
"154" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065734977" "Activo"
"155" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065735552" "Descartado"
"156" "Smartphone" "G2 MINI LTE NEGRO" NA "352858065736345" "Activo"
"157" "Smartphone" "GALAXY S5 LTE NEGRO" NA "353111064674243" "Activo"
"158" "Smartphone" "GALAXY S5 LTE NEGRO" NA "353111065245084" "Activo"
"159" "Smartphone" "IPHONE 6S 16GB PLATA" NA "353312072812011" "Activo"
"160" "Smartphone" "IPHONE 6S 16GB PLATA" NA "353332072407562" "Activo"
"161" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060250542" "Activo"
"162" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060258693" "Activo"
"163" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060259568" "Activo"
"164" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060259576" "Activo"
"165" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060291306" "Activo"
"166" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060317358" "Activo"
"167" "Smartphone" "MOTO E 2DA GEN + AUD SR-R" NA "353338060319231" "Activo"
"168" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060328074" "Activo"
"169" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060347934" "Activo"
"170" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060347942" "Activo"
"171" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060348106" "Activo"
"172" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060411623" "Activo"
"173" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060414742" "Activo"
"174" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338060765382" "Activo"
"175" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061738768" "Activo"
"176" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061794407" "Activo"
"177" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061794514" "Activo"
"178" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061799802" "Activo"
"179" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061801467" "Activo"
"180" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061880370" "Activo"
"181" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061882202" "Activo"
"182" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061890445" "Activo"
"183" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061892474" "Activo"
"184" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061903628" "Activo"
"185" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061904501" "Activo"
"186" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338061910292" "Activo"
"187" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062202426" "Activo"
"188" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062215709" "Activo"
"189" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062253775" "Activo"
"190" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062256042" "Activo"
"191" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062628091" "Activo"
"192" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338062678757" "Activo"
"193" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338063199936" "Activo"
"194" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338063201088" "Activo"
"195" "Smartphone" "MOTO E 2DA GEN NEGRO" NA "353338063228248" "Activo"
"196" "Smartphone" "9220 CURVE" NA "353566053976067" "Activo"
"197" "Smartphone" "9220 CURVE" NA "353566054453207" "Descartado"
"198" "Smartphone" "LUMIA 510 NEGRO" NA "353661057116024" "Descartado"
"199" "Smartphone" "LUMIA 510 NEGRO" NA "353661057217780" "Activo"
"200" "Smartphone" "LUMIA 510 NEGRO" NA "353661057429971" "Descartado"
"201" "Smartphone" "LUMIA 510 NEGRO" NA "353661057518187" "Descartado"
"202" "Smartphone" "LUMIA 510 NEGRO" NA "353661057535561" "Descartado"
"203" "Smartphone" "LUMIA 510 NEGRO" NA "353661057545776" "Descartado"
"204" "Smartphone" "LUMIA 510 NEGRO" NA "353661057557110" "Descartado"
"205" "Smartphone" "LUMIA 510 NEGRO" NA "353661057557714" "Descartado"
"206" "Smartphone" "LUMIA 510 NEGRO" NA "353661057562805" "Descartado"
"207" "Smartphone" "S5830 GALAXY ACE 3G" NA "353926057230152" "Descartado"
"208" "Smartphone" "MOTO G4 PLAY" NA "354138071188338" "Activo"
"209" "Smartphone" "MOTO G4 PLAY" NA "354138071191613" "Activo"
"210" "Smartphone" "MOTO G4 PLAY" NA "354138071201468" "Activo"
"211" "Smartphone" "MOTO G4 PLAY" NA "354138071207211" "Activo"
"212" "Smartphone" "IPHONE 6 128GB SILVER" NA "354444069713099" "Activo"
"213" "Smartphone" "IPHONE 6 64GB GOLD" NA "354449069824390" "Activo"
"214" "Smartphone" "IPHONE 6 PLUS 64GB SPA GR" NA "354452062961458" "Activo"
"215" "Smartphone" "S5830 GALAXY ACE 3G" NA "354850052835998" "Descartado"
"216" "Smartphone" "GALAXY J2 NEGRO" NA "355019071854898" "Activo"
"217" "Smartphone" "GALAXY J2 NEGRO" NA "355019071860333" "Activo"
"218" "Smartphone" "GALAXY J2 NEGRO" NA "355019071862735" "Activo"
"219" "Smartphone" "GALAXY J2 NEGRO" NA "355019071862776" "Activo"
"220" "Smartphone" "GALAXY J2 NEGRO" NA "355019071868146" "Activo"
"221" "Smartphone" "GALAXY J2 NEGRO" NA "355019072359335" "Activo"
"222" "Smartphone" "GALAXY J2 NEGRO" NA "355019072359376" "Activo"
"223" "Smartphone" "GALAXY J2 NEGRO" NA "355019072362446" "Activo"
"224" "Smartphone" "GALAXY J2 NEGRO" NA "355019072363964" "Activo"
"225" "Smartphone" "GALAXY J2 NEGRO" NA "355019072364988" "Activo"
"226" "Smartphone" "GALAXY J2 NEGRO" NA "355019072982409" "Activo"
"227" "Smartphone" "GALAXY J2 NEGRO" NA "355019072984538" "Activo"
"228" "Smartphone" "GALAXY J2 NEGRO" NA "355019072985352" "Activo"
"229" "Smartphone" "GALAXY J2 NEGRO" NA "355019072991988" "Activo"
"230" "Smartphone" "GALAXY J2 NEGRO" NA "355019072992556" "Activo"
"231" "Smartphone" "GALAXY J2 NEGRO" NA "355019072993711" "Activo"
"232" "Smartphone" "GALAXY J2 NEGRO" NA "355019073030166" "Activo"
"233" "Smartphone" "GALAXY J2 NEGRO" NA "355019073030240" "Activo"
"234" "Smartphone" "GALAXY J2 NEGRO" NA "355019073031180" "Activo"
"235" "Smartphone" "GALAXY J2 NEGRO" NA "355019073398282" "Activo"
"236" "Smartphone" "GALAXY J2 NEGRO" NA "355019073965015" "Activo"
"237" "Smartphone" "GALAXY J2 NEGRO" NA "355019073965023" "Activo"
"238" "Smartphone" "GALAXY J2 NEGRO" NA "355019073967268" "Activo"
"239" "Smartphone" "GALAXY J2 NEGRO" NA "355019073971120" "Activo"
"240" "Smartphone" "GALAXY J2 NEGRO" NA "355019074452740" "Activo"
"241" "Smartphone" "GALAXY J2 NEGRO" NA "355019074460479" "Activo"
"242" "Smartphone" "GALAXY J2 NEGRO" NA "355019075142365" "Activo"
"243" "Smartphone" "GALAXY J2 NEGRO" NA "355019075142407" "Activo"
"244" "Smartphone" "GALAXY J2 NEGRO" NA "355019075239419" "Activo"
"245" "Smartphone" "GALAXY J2 NEGRO" NA "355019075239526" "Activo"
"246" "Smartphone" "XPERIA M2 AQUA BLANCO +SM" NA "355102060493595" "Activo"
"247" "Smartphone" "XPERIA M2 AQUA NEGRO + SM" NA "355102061359829" "Descartado"
"248" "Smartphone" "S3 MINI 8GB AZUL" NA "355258052932220" "Descartado"
"249" "Smartphone" "S3 MINI 8GB AZUL" NA "355258058558441" "Activo"
"250" "Smartphone" "IPHONE 6S 128GB PLATA" NA "355419076347452" "Activo"
"251" "Smartphone" "BB9320 CURVE ARMSTRONG NEGRO" NA "355570054805075" "Descartado"
"252" "BAM/M2M" "MODEM E176 3G" NA "355851026335098" "Descartado"
"253" "Smartphone" "8520 GEMINI" NA "355931037672109" "Activo"
"254" "Smartphone" "8520 GEMINI" NA "355931037813133" "Activo"
"255" "Smartphone" "C2-01 NEGRO 3G" NA "355939045245206" "Activo"
"256" "Smartphone" "GALAXY POCKET NEO AZUL" NA "356281052778020" "Descartado"
"257" "Smartphone" "C2-01 NEGRO 3G" NA "356334059144504" "Descartado"
"258" "Smartphone" "C2-01 NEGRO 3G" NA "356334059211295" "Activo"
"259" "Smartphone" "C2-01 NEGRO 3G" NA "356334059215171" "Activo"
"260" "Smartphone" "C2-01 NEGRO 3G" NA "356334059217789" "Activo"
"261" "Smartphone" "C2-01 NEGRO 3G" NA "356334059217854" "Descartado"
"262" "Smartphone" "GALAXY J5 NEGRO" NA "356523079728532" "Activo"
"263" "Smartphone" "GALAXY J5 NEGRO" NA "356523079738499" "Activo"
"264" "Smartphone" "GALAXY J5 NEGRO" NA "356523079738549" "Activo"
"265" "Smartphone" "GALAXY J5 NEGRO" NA "356523079739877" "Activo"
"266" "Smartphone" "GALAXY J5 NEGRO" NA "356523079743200" "Activo"
"267" "Smartphone" "GALAXY J5 NEGRO" NA "356523079743275" "Activo"
"268" "Smartphone" "GALAXY J5 NEGRO" NA "356523079743895" "Activo"
"269" "Smartphone" "GALAXY J5 NEGRO" NA "356523079744034" "Activo"
"270" "Smartphone" "GALAXY J5 NEGRO" NA "356523079779113" "Activo"
"271" "Smartphone" "GALAXY J5 NEGRO" NA "356523079779147" "Activo"
"272" "Smartphone" "GALAXY J5 NEGRO" NA "356523079780624" "Activo"
"273" "Smartphone" "GALAXY J5 NEGRO" NA "356523079780681" "Activo"
"274" "Smartphone" "GALAXY J5 NEGRO" NA "356523079780699" "Activo"
"275" "Smartphone" "S3 MINI 8GB AZUL" NA "356936056185809" "Descartado"
"276" "Smartphone" "IPHONE 6 64GB SILVER" NA "356987061974810" "Activo"
"277" "Smartphone" "IPHONE 6 64GB SILVER" NA "356989060581166" "Activo"
"278" "BAM/M2M" "MODEM E353 BLANCO HSPA+ 3G" NA "357260044601333" "Activo"
"279" "BAM/M2M" "MODEM E353 BLANCO HSPA+ 3G" NA "357260044609005" "Descartado"
"280" "BAM/M2M" "MODEM E353 BLANCO HSPA+ 3G" NA "357260045142972" "Activo"
"281" "BAM/M2M" "MODEM E353 BLANCO HSPA+ 3G" NA "357260045323374" "Activo"
"282" "BAM/M2M" "MODEM E353 BLANCO HSPA+ 3G" NA "357260045332334" "Activo"
"283" "Smartphone" "208 NEGRO" NA "357274059461913" "Descartado"
"284" "Smartphone" "GALAXY S7 EDGE NEGRO 4G" NA "357329077906115" "Activo"
"285" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054965213" "Descartado"
"286" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054969199" "Activo"
"287" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054969405" "Activo"
"288" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054969884" "Activo"
"289" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054970049" "Activo"
"290" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054971625" "Descartado"
"291" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054975782" "Descartado"
"292" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054977457" "Descartado"
"293" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054977499" "Descartado"
"294" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054977523" "Descartado"
"295" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054977556" "Descartado"
"296" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054978471" "Activo"
"297" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054978539" "Descartado"
"298" "Smartphone" "GALAXY S4 MINI NEGR PRO" NA "357736054978893" "Descartado"
"299" "Smartphone" "GALAXY S4 MINI NEGRO" NA "357736057206276" "Descartado"
"300" "Smartphone" "IPHONE 5C 16GB VERDE" NA "357999059303059" "Descartado"
"301" "Smartphone" "IPHONE 5C 16GB VERDE" NA "358000059146504" "Descartado"
"302" "Smartphone" "IPHONE 5C 16GB ROSADO" NA "358000059148542" "Descartado"
"303" "Smartphone" "IPHONE 5C 16GB VERDE" NA "358000059248656" "Descartado"
"304" "Smartphone" "GALAXY A5 NEGRO" NA "358023062633565" "Activo"
"305" "Smartphone" "S202 NEGRO" NA "358051034262551" "Descartado"
"306" "Smartphone" "C2-01 NEGRO 3G" NA "358102050838822" "Activo"
"307" "Smartphone" "C2-01 NEGRO 3G" NA "358102050842394" "Activo"
"308" "Smartphone" "C2-01 NEGRO 3G" NA "358102050842493" "Descartado"
"309" "Smartphone" "C2-01 NEGRO 3G" NA "358102050848227" "Activo"
"310" "Smartphone" "C2-01 NEGRO 3G" NA "358102051593582" "Activo"
"311" "Smartphone" "C2-01 NEGRO 3G" NA "358102051602839" "Descartado"
"312" "Smartphone" "C2-01 NEGRO 3G" NA "358102051628834" "Descartado"
"313" "Smartphone" "C2-01 NEGRO 3G" NA "358102051630152" "Descartado"
"314" "Smartphone" "C2-01 NEGRO 3G" NA "358102051631176" "Activo"
"315" "Smartphone" "C2-01 NEGRO 3G" NA "358102051636589" "Descartado"
"316" "Smartphone" "C2-01 NEGRO 3G" NA "358102051654699" "Activo"
"317" "Smartphone" "C2-01 NEGRO 3G" NA "358102051675215" "Descartado"
"318" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358369064083196" "Activo"
"319" "Smartphone" "IPHONE 6 64GB SILVER" NA "358369068707170" "Activo"
"320" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358371064307252" "Activo"
"321" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372064806632" "Activo"
"322" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372064933683" "Activo"
"323" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372065147689" "Activo"
"324" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372065170178" "Activo"
"325" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372065577729" "Activo"
"326" "Smartphone" "IPHONE 6 64GB SPACE GREY" NA "358372065740855" "Activo"
"327" "Smartphone" "IPHONE 5C 16GB BLANCO" NA "358543053894652" "Descartado"
"328" "Smartphone" "IPHONE 5C 16GB ROSADO" NA "358544053069568" "Descartado"
"329" "Smartphone" "IPHONE 5C 16GB BLANCO" NA "358544054658708" "Descartado"
"330" "Smartphone" "IPHONE 5C 16GB AZUL" NA "358545052329135" "Descartado"
"331" "Smartphone" "IPHONE 5C 16GB BLANCO" NA "358546053298865" "Descartado"
"332" "Smartphone" "IPHONE 5S 64GB GRIS" NA "358687057219380" "Descartado"
"333" "Smartphone" "IPHONE 5S 32GB GRIS" NA "358687058009947" "Activo"
"334" "Smartphone" "IPHONE 5S 32GB PLATA" NA "358688059205393" "Activo"
"335" "Smartphone" "IPHONE 5S 32GB GRIS" NA "358761051596323" "Descartado"
"336" "Smartphone" "IPHONE 5S 16GB PLATA" NA "358762057169552" "Descartado"
"337" "Smartphone" "IPHONE 5C 16GB ROSADO" NA "358803050127963" "Descartado"
"338" "Smartphone" "IPHONE 5C 8GB BLANCO" NA "358803055729771" "Activo"
"339" "Smartphone" "IPHONE 5S 16GB GRIS" NA "358826058269271" "Activo"
